"taxon","16S rRNA accession #","Family","Genus","Species","Strain","Genome size","%G+C","Other genetic characteristics","Cell shape","Pigments","Cell wall","Motility","Biofilm formation","Habitat isolated from","Oxygen use","Salinity preference","pH minimum","pH optimum","pH maximum","Temperature minimum","Temperature optimum","Temperature maximum","NaCl minimum","NaCl optimum","NaCl maximum","Host","Symbiotic","Pathogenic","Disease caused","Metabolism (energy & carbon source)","Mono & di-saccharides","Polysaccharides","Amino acids","Alcohols","Fatty acids","Other energy or carbon sources","Fermentation products","Polyalkanoates (plastics)","Other metabolic product","Antibiotic sensitivity","Antibiotic resistant","Cell Size"
"Pyrococcus_abyssi","","","","","","","","","chains,cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesoplasma_lactucae","","","","","","","1","","coccoid,short,nonhelical,pleomorphic,filaments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Methanobrevibacter_gottschalkii","","","","","","","29","","short,coccobacillus,pairs,chains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesoplasma_entomophilum","","","","","","","30","","coccoid,pleomorphic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haladaptatus_cibarius","","","","","","","56.5","","coccobacilli,cocci","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiroplasma_corruscae","","","","","","","26.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Haloterrigena_thermotolerans","","","","","","","63.3","","rod-shaped","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiroplasma_monobiae","","","","","","","28","","helical,,filaments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Synechococcus.sp.CC9605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thermococcus_siculi","","","","","","","55.8","","pairs,regular,singly,cocci,irregular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
